Alabama ;1161
Alaska ;1082
Arizona ;1183
Arkansas ;1192
California ;1083
Colorado ;996
Connecticut ;1007
Delaware ;958
District of Columbia ;969
Florida ;966
Georgia ;1054
Hawaii ;1114
Idaho ;970
Illinois ;970
Indiana ;971
Iowa ;1208
Kansas ;1245
Kentucky ;1208
Louisiana ;1194
Maine ;1080
Maryland ;1008
Massachusetts ;1112
Michigan ;967
Minnesota ;1201
Mississippi ;1184
Missouri ;1191
Montana ;1193
Nebraska ;1252
Nevada ;1166
New Hampshire ;1035
New Jersey ;1066
New Mexico ;901
New York ;1039
North Carolina ;1127
North Dakota ;1287
Ohio ;1044
Oklahoma ;953
Oregon ;1125
Pennsylvania ;1078
Rhode Island ;958
South Carolina ;1028
South Dakota ;1208
Tennessee ;1191
Texas ;978
Utah ;1239
Vermont ;1099
Virginia ;1113
Washington ;1081
West Virginia ;923
Wisconsin ;1236
Wyoming ;1200